$1^{\circ}$ リスク中立上昇確率で評価した期待値の割引現在価値として求めることができる。なお、このリスク中立上昇確率は、真の確率とは異なる。あくまでも、計算上都合のよい便利な偽の確率である。：$$C = \frac{q{{c1::C_u}} + (1-{{c2::q}}){{c3::C_d}}}{1+{{c4::r}}}$$	[Formula] $1^{\circ}$ リスク中立上昇確率で評価した期待値の割引現在価値として求めることができる。なお、このリスク中立上昇確率は、真の確率とは異なる。あくまでも、計算上都合のよい便利な偽の確率である。
$1^{\circ}$ リスク中立上昇確率で評価した期待値の割引現在価値として求めることができる。なお、このリスク中立上昇確率は、真の確率とは異なる。あくまでも、計算上都合のよい便利な偽の確率である。：$$q = \frac{(1+{{c1::r}}) - {{c2::d}}}{{{c3::u}} - {{c2::d}}}$$	[Formula] $1^{\circ}$ リスク中立上昇確率で評価した期待値の割引現在価値として求めることができる。なお、このリスク中立上昇確率は、真の確率とは異なる。あくまでも、計算上都合のよい便利な偽の確率である。
投資家のリスクに対する好み（リスク愛好的か回避的か）を無視して、「{{c1::すべての投資家がリスク中立である}}」と仮定して計算しても、オプション価格は変わらないという性質を利用しています。	[Definition] リスク中立評価法
リスク中立確率 ($q$) は、現実の上昇確率ではなく、「{{c1::期待収益率が無リスク利子率 ($r$) と等しくなるような確率}}」を逆算したものです。	[Definition] リスク中立確率 ($q$)
複製ポートフォリオとは、原資産（株）と借入を組み合わせて{{c1::オプションと同じ損益を作る}}考え方である。	[Definition] 複製ポートフォリオ
Step 1: 満期時（1期後）の株価 $S_u, S_d$ を{{c1::求める（現在の株価 $S_0$ に $u$ と $d$ を掛ける）}}。Step 2: 満期時のオプション価値 $C_u, C_d$ を{{c2::求める}}（$\max(S - K, 0)$ で計算）。Step 3: 公式に当てはめて現在価値 $C$ を{{c3::算出する}}。	[Sequential] 2項モデルによるオプション価格評価の計算手順
問題文で「$10\%$ 上昇、$5\%$ 下落」とあれば、$u = {{c1::1.10}}$、$d = {{c2::0.95}}$ となる。	[Definition] $u$ と $d$ の値の導出
2期間モデル（3つの枝分かれ）の場合、後ろの期間から「{{c1::バックワード・インダクション（逆向き推計）}}」で順次現在価値に引き戻していくプロセスが問われる。	[Sequential] 多期間モデルの評価方法
アメリカン・オプションの多期間モデル評価では、各時点で「{{c1::早期行使価値}}」と「{{c2::継続保有価値}}」を比較する作業が加わる。	[Parallel] アメリカン・オプションの評価
投資家の主観的な上昇確率やリスク・プレミアムは、オプション価格に影響を与えるか？と問われたら、答えは「{{c1::No}}」である。オプション価格は、あくまで{{c2::$r$}}, {{c3::$u$}}, {{c4::$d$（およびボラティリティ）}}によって決まる。	[Causality] オプション価格に影響を与える要素・与えない要素
