$1^{\circ}$ 実際のFRA取引の場合、カウンター・パーティーの信用リスクの問題がある。したがって、この式は固定金利・変動金利の信用リスクが無視できるという仮定の下で導かれる。：$$r_{FRA} = \frac{(1+{{c1::r_{0,T}}})^{{c2::T}}}{(1+{{c3::r_{0,t}}})^{{c4::t}}} - 1$$	[Formula] $1^{\circ}$ 実際のFRA取引の場合、カウンター・パーティーの信用リスクの問題がある。したがって、この式は固定金利・変動金利の信用リスクが無視できるという仮定の下で導かれる。
$1^{\circ}$ 実際のFRA取引の場合、カウンター・パーティーの信用リスクの問題がある。したがって、この式は固定金利・変動金利の信用リスクが無視できるという仮定の下で導かれる。：$$r_{FRA} = {{c1::f_{t,T}}}$$	[Formula] $1^{\circ}$ 実際のFRA取引の場合、カウンター・パーティーの信用リスクの問題がある。したがって、この式は固定金利・変動金利の信用リスクが無視できるという仮定の下で導かれる。
無裁定の原理は、「0時点から $T$ 時点まで一気に運用する」のと、「0時点から $t$ 時点まで運用し、その後 $t$ から $T$ まで予約した金利（FRA）で運用する」のが{{c1::同じ結果になる}}、という考えに基づいている。	[Definition] 無裁定の原理
$r_{0,T}$ は、現在から満期までの{{c1::スポット・レート}}である。	[Definition] スポット・レート $r_{0,T}$
$r_{0,t}$ は、現在から開始日までの{{c1::スポット・レート}}である。	[Definition] スポット・レート $r_{0,t}$
$f_{t,T}$ は、$t$ 時点から $T$ 時点までの「{{c1::暗黙の}}」フォワード・レート（＝FRAレート）である。	[Definition] フォワード・レート $f_{t,T}$
FRAの公式の指数（$T$ や $t$）は「{{c1::年単位}}」である。	[Definition] FRA計算における期間の単位
計算結果の $r_{FRA}$ は「年率」で出てくるため、決済額の計算時にはさらに{{c1::期間}}を掛ける必要がある。	[Causality] FRA計算結果の $r_{FRA}$ の扱い
FRAは元本の交換を行わず、約定金利と決済日時点の市場金利（LIBORやTIBORの代替指標）の「{{c1::差}}」だけをやり取りする。	[Definition] FRAの決済方法
FRAの決済において、市場金利 $>$ 約定金利 のとき、{{c1::買い手（金利上昇リスクをヘッジした人）}}が利益を受け取る。	[Causality] FRAの決済（市場金利＞約定金利）
FRAの理論式は「{{c1::リスクフリー}}」を前提としている。	[Definition] FRA理論式の前提
スワップやFRAの評価において、カウンターパーティー・リスク（信用リスク）を考慮した「{{c1::CVA（信用調整）}}」といった高度な概念との対比で問われることがある。	[Definition] カウンターパーティー・リスクの考慮
金利スワップは、このFRAを複数並べて「{{c1::束}}」にしたものと解釈できる。	[Definition] 金利スワップとFRAの関係
FRAの評価を理解することは、{{c1::スワップの時価評価（バリュエーション）}}を理解するための第一歩である。	[Causality] FRA評価の重要性
