カバーなし金利パリティ（UIP）では、将来の為替予約を行わない場合、投資家は「{{c1::将来の予想為替レート $E[S_T]$}}」に基づいて判断する。	[Definition] カバーなし金利パリティの判断基準
カバーなし金利パリティ（UIP）の理論上、高金利通貨の金利優位性は、その通貨が将来{{c1::減価（安くなる）}}という期待によって相殺される。	[Causality] UIPの理論的帰結
カバーなし金利パリティ（UIP）の実証テストにおいて、理論通りであれば回帰係数 $\beta$ は{{c1::1}}となる。	[Definition] UIP実証テストの理論値
カバーなし金利パリティ（UIP）の実証テストでは、現実には回帰係数 $\beta$ が{{c1::1より小さい、あるいはマイナス}}になることが多く、この現象を{{c2::フォワード・プレミアム・パズル}}と呼ぶ。	[Definition] フォワード・プレミアム・パズル
カバーなし金利パリティ（UIP）の実証テストで $\hat{\beta} < 0$ となることが多い事実は、「高金利通貨は理論とは逆に、さらに{{c1::増価（高くなる）}}傾向がある」ことを示唆している。	[Causality] $\hat{\beta} < 0$ の意味
低金利通貨で借りて高金利通貨で運用する「通貨キャリートレード」が収益を上げやすい統計的な理由の一つは、UIPの実証テストで{{c1::高金利通貨が理論とは逆に増価する傾向}}があるためである。	[Causality] 通貨キャリートレードが収益を上げやすい理由
カバー付き金利パリティ（CIP）は{{c1::為替予約}}を用いるのに対し、カバーなし金利パリティ（UIP）は{{c2::予想レート}}を用いる。また、CIPは現実の市場で{{c3::ほぼ常に成立}}するが、UIPは現実には{{c4::成立しないことが多い}}。	[Contrast] CIPとUIPの対比
カバーなし金利パリティ（UIP）の実証テストにおいて「$\beta=1$ という仮定が棄却される」ことは、{{c1::金利差で将来の為替変動を完全に説明することはできない}}ことを意味する。	[Definition] UIP実証テストにおける$\beta=1$仮定の棄却の意味
カバーなし金利パリティ（UIP）が成立しない理由の一つとして、「投資家が為替変動リスクをとるための報酬である{{c1::リスク・プレミアム}}を要求しているから」という説明がある。	[Causality] UIPが成立しない理由
「将来の予想レート $E[S_T]$ が現在のフォワードレート $F_t$ と一致する」という仮定を{{c1::フォワード・パリティ}}という。	[Definition] フォワード・パリティの定義
