デット・サービス・レシオ (DSR) は、外貨を稼ぐ力（輸出額）に対して、どれだけの外貨が{{c1::借金の返済（元金＋利息）}}に消えていくかを示します。	[Definition] デット・サービス・レシオ (DSR) の意味
デット・サービス・レシオ (DSR) が高いほど、輸出が落ち込んだ際に{{c1::デフォルト（債務不履行）}}に陥る危険性が高くなります。	[Causality] デット・サービス・レシオ (DSR) とリスク
デット・サービス・レシオ (DSR) は、一般的に{{c1::$20\%$}}を超えると警戒水準と言われます。	[Definition] デット・サービス・レシオ (DSR) の警戒水準
経常赤字・GDP比率は、国の経済規模（GDP）に対して、どれだけ海外に{{c1::支払い超過（経常赤字）}}が生じているかを示します。	[Definition] 経常赤字・GDP比率の意味
経常赤字は「{{c1::海外からの借金}}」や「{{c2::資産の切り崩し}}」で賄う必要があります。	[Parallel] 経常赤字の補填方法
経常赤字・GDP比率が高い状態が続くと、{{c1::通貨下落のリスク（通貨危機）}}や{{c2::資本流出のリスク}}が高まります。	[Parallel] 経常赤字・GDP比率が高い状態が続くリスク
「カントリー・アロケーション」を採用する際、{{c1::どの国のウェイトを落とすべきか}}の根拠として、デット・サービス・レシオや経常赤字・GDP比率などの指標が悪化していることが論述の材料になります。	[Causality] カントリー・アロケーション戦略における指標の活用
デット・サービス・レシオや経常赤字・GDP比率などのカントリー・リスク指標は、{{c1::低いほうがリスクが小さい}}という基本があります。	[Definition] カントリー・リスク指標の基本原則
経常赤字・GDP比率が高い国において急激な資本流出が起きた場合のメカニズムは、経常赤字の補填ができなくなる $\rightarrow$ {{c1::通貨が暴落する}} $\rightarrow$ {{c2::外貨建て債務の返済負担（実質ベース）が激増する}}、という負の連鎖です。	[Sequential] 経常赤字・GDP比率が高い国での通貨危機メカニズム
カントリー・リスクの判断では、デット・サービス・レシオや経常赤字・GDP比率に加えて、「{{c1::外貨準備高}}」や「{{c2::対外純資産}}」などのデータも提示されることがあります。	[Parallel] カントリー・リスク判断で用いられる他の指標
第2次試験では、{{c1::多角的な視点から「カントリー・リスク」を定義させる}}のが特徴です。	[Definition] 第2次試験におけるカントリー・リスクの問われ方
