グラフにおいて、無リスク利子率 $R_f$ と投資対象 $A$ を結ぶ直線の「{{c1::傾き}}」がトレイナー・レシオに相当します。	[Definition] トレイナー・レシオとSMLの傾き
トレイナー・レシオのグラフの横軸は{{c1::ベータ ($eta$)}}である点が、シャープ・レシオ（横軸が標準偏差）との決定的な違いです。	[Definition] トレイナー・レシオのグラフの横軸
トレイナー・レシオは分母に $eta$ を用いるため、分散投資によって消去可能な「{{c1::固有リスク}}」を無視します。	[Definition] トレイナー・レシオが無視するリスク
トレイナー・レシオは、{{c1::十分に分散されたポートフォリオ}}を評価するのに適しています。	[Definition] トレイナー・レシオの適用対象
シャープ・レシオは{{c1::分散投資が不十分な場合}}に用いられ、トレイナー・レシオは{{c2::分散投資が十分な場合}}に用いられます。	[Contrast] シャープ・レシオとトレイナー・レシオの使い分け
ある2つのファンドを比較した際、「シャープ・レシオではAが優れているが、トレイナー・レシオではBが優れている」という状況が起こり得ます。これを{{c1::パフォーマンスの逆転現象}}といいます。	[Definition] パフォーマンスの逆転現象
シャープ・レシオとトレイナー・レシオでパフォーマンスの逆転現象が起こる場合、それは{{c1::大きな固有リスクを抱えている（分散が不十分）}}ことを示唆します。	[Causality] パフォーマンス逆転現象の原因
均衡市場（CAPMが成立している状態）では、すべての証券のトレイナー・レシオは{{c1::市場ポートフォリオのそれ（SMLの傾き）に一致}}します。	[Definition] 均衡市場におけるトレイナー・レシオ
ある銘柄のトレイナー・レシオがSMLの傾きより{{c1::大きければ}}、その銘柄は「{{c2::割安（アンダーバリュー）}}」と判断されます。	[Causality] トレイナー・レシオとSMLの傾きによる割安判断
トレイナー・レシオの分子「平均収益率 － $R_f$」は、{{c1::シャープ・レシオと共通}}です。	[Parallel] トレイナー・レシオとシャープ・レシオの分子
