パッシブ運用は「市場は概ね{{c1::効率的}}である」という考えに基づき、{{c2::インデックスに連動すること}}に徹する運用である。	[Definition] パッシブ運用（定義）
パッシブ運用の成否は、いかにベンチマークとのズレ（{{c1::トラッキング・エラー}}）を{{c2::小さく}}できるかで測られる。	[Definition] パッシブ運用の成否
アクティブ運用は「市場には{{c1::歪みがあり、割安・割高な銘柄が存在する}}」と考え、{{c2::独自の調査に基づいて投資判断を行う}}運用である。	[Definition] アクティブ運用（定義）
{{c1::超過リターン（アルファ）}}とは、{{c2::ベンチマークを上回る収益}}を指し、アクティブ運用の存在意義そのものである。	[Definition] 超過リターン（アルファ）
{{c1::意図的な乖離（アクティブ・リスク）}}とは、アルファを得るために、あえて{{c2::インデックスとは異なる構成（銘柄選定や比率変更）にすること}}を指す。	[Definition] 意図的な乖離（アクティブ・リスク）
アクティブ運用はチャンスを求めて{{c1::頻繁に売買する}}ため、{{c2::売買手数料（取引コスト）が膨らむ}}。	[Causality] アクティブ運用のコスト
総費用（信託報酬＋取引コスト）を考慮した後の実質的なリターンでは、{{c1::パッシブ運用}}の方が{{c2::アクティブ運用}}に勝るケースがある。	[Contrast] パッシブ運用とアクティブ運用の実質リターン
パッシブ運用の評価軸は「{{c1::ベンチマークへの追従性}}」だが、アクティブ運用の評価軸は「{{c2::リスクに見合ったアルファが出ているか}}」である。	[Contrast] パフォーマンス評価軸（パッシブ vs アクティブ）
アクティブ運用の評価指標として、{{c1::シャープ・レシオ}}や{{c2::インフォメーション・レシオ}}が用いられる。	[Parallel] アクティブ運用の評価指標
アクティブ運用の報酬（管理費用）は{{c1::パッシブ}}の{{c2::数倍〜数十倍}}になることがある。	[Contrast] アクティブ運用の報酬
手数料控除前を{{c1::グロス・リターン}}、手数料控除後を{{c2::ネット・リターン}}という。	[Parallel] グロス・リターンとネット・リターン
コストの高いアクティブ運用を行うのは、市場が{{c1::完全に効率的ではなく}}、{{c2::情報の非対称性やアノマリーを利用して超過収益を得る機会がある}}からである。	[Causality] アクティブ運用を行う理由
