「{{c1::特定の期待収益率に対して、最もリスク（標準偏差）を低く抑えたポートフォリオの集合体}}」を最小分散フロンティア（曲線APDC）という。	[Definition] 最小分散フロンティアの定義
すべてのリスク資産の組み合わせの中で、{{c1::最もリスクが小さい一点}}を大域的最小分散ポートフォリオ（点D）という。これはグラフの{{c2::最も左端（頂点）}}に位置する。	[Parallel] 大域的最小分散ポートフォリオの定義と特徴
効率的フロンティア（曲線APD）は、最小分散フロンティア（点D）から見て、{{c1::上側（リターンが高い側）の部分のみ}}を指す。点Dより下の曲線（DC）は、{{c2::同じリスクでより高いリターンが得られる点が上にあるため、合理的な投資家には選ばれない}}。	[Parallel] 効率的フロンティアの定義と特徴
最適ポートフォリオ（点P）とは、投資家の無差別曲線が、効率的フロンティアと{{c1::接する（tangent）点}}である。	[Definition] 最適ポートフォリオの定義
投資家にとって効用を最大化する「最適解」となるのは、効率的フロンティアにギリギリ触れる点Pである。これは、投資家がより高い（左上の）無差別曲線を目指しても、{{c1::効率的フロンティアより外側には選択肢が存在しない}}ためである。	[Causality] 最適ポートフォリオが効用を最大化する理由
「最小分散フロンティア」と「効率的フロンティア」の違いは、{{c1::点D（MVP）を境に「上側のみ」が効率的フロンティア}}である点である。	[Contrast] 最小分散フロンティアと効率的フロンティアの区別
保守的な投資家の場合、無差別曲線の傾きが{{c1::急}}なため、最適ポートフォリオの接点Pは{{c2::左下（低リスク・低リターン）}}に寄る。	[Causality] 保守的な投資家の最適ポートフォリオ
積極的な投資家の場合、無差別曲線の傾きが{{c1::緩やか}}なため、最適ポートフォリオの接点Pは{{c2::右上（高リスク・高リターン）}}に寄る。	[Causality] 積極的な投資家の最適ポートフォリオ
2資産の場合、大域的最小分散ポートフォリオ（MVP）の計算では、{{c1::分散を最小化する重み $w_A$ を求める数式計算}}が頻出である。	[Definition] 大域的最小分散ポートフォリオ（MVP）計算の論点
グラフ上の各点（A, B, C, D, P）が何を意味するのかを{{c1::特定させる}}問題が典型的なパターンである。	[Definition] 図の読み取り問題の種類
無差別曲線 $U_0, U_1, U_2$ の中で最も効用が高いのは{{c1::最も左上の $U_2$}}である。	[Definition] 無差別曲線における効用の高さ
