標準偏差の変換（時間の平方根法則）：$$\sqrt{250V} = \sqrt{250} \cdot {{c1::\sigma}}$$	[Formula] 標準偏差の変換（時間の平方根法則）
VaR（バリュー・アット・リスク）計算への応用：$$\text{10日VaR} = \text{1{{c1::日}}{{c2::VaR}}} \times \sqrt{10}$$	[Formula] VaR（バリュー・アット・リスク）計算への応用
平均（期待収益率）は時間に{{c1::比例}}します。1日の平均が $0.04\%$ なら、250営業日では $0.04\% \times 250 = 10\%$ と{{c2::単純な掛け算（足し算）}}で計算できます。	[Definition] 平均（期待収益率）の期間調整
リスク（標準偏差）は時間に比例せず、{{c1::「時間の平方根」}}に比例します。	[Definition] リスク（標準偏差）の期間調整
リスク（標準偏差）が「時間の平方根」に比例するという性質は、{{c1::「分散（$\sigma^2$）」}}が時間に比例するという性質に基づいています。	[Causality] 標準偏差の期間調整の根拠
分散が $V$ であれば、250日後の分散は{{c1::$250V$}}となり、その標準偏差は{{c2::$\sqrt{250V} = \sqrt{250} \cdot \sigma$}}となります。	[Definition] 分散と標準偏差の期間調整計算
標準偏差の期間調整の計算が成り立つためには、日々の変動が{{c1::「独立で同じ分布に従う（i.i.d.）」}}という強い仮定が必要です。	[Causality] 標準偏差の期間調整の仮定
もし{{c1::相関（自己相関）}}がある場合、標準偏差の期間調整の公式は使えません。	[Causality] 標準偏差の期間調整が使えないケース
期間調整の日数について、問題文に指示がない場合、株式市場の分析では通常{{c1::250（または245など）}}を使うのが一般的です。	[Definition] 期間調整における日数の選択（株式市場）
期間調整の日数について、問題文に指示がない場合、債券や通貨の実日数計算では通常{{c1::365}}を使うのが一般的です。	[Definition] 期間調整における日数の選択（債券・通貨）
試験では、期間調整の日数は必ず{{c1::どこかに指定}}があります。	[Definition] 試験における期間調整の日数指定
VaRを計算する際に「1日VaRを10日VaRに変換せよ」といった問題では、{{c1::「$\text{10日VaR} = \text{1日VaR} \times \sqrt{10}$」}}とする計算は、標準偏差の期間調整そのものです。	[Definition] VaR計算における期間調整
オプション価格（ブラック・ショールズ・モデル）に入力するシグマ（$\sigma$）は常に{{c1::年率}}です。	[Definition] オプション価格モデルのボラティリティ
オプション価格計算において、データが日次で与えられたボラティリティを年率に戻すには、必ず{{c1::$\sqrt{\text{Ndays}}$}}をかけます。	[Causality] 日次ボラティリティの年率換算
「分散を年率化せよ」と言われたら{{c1::$\text{Ndays}$}}をかけます。	[Parallel] 分散の年率化
「標準偏差を年率化せよ」と言われたら{{c1::$\sqrt{\text{Ndays}}$}}をかけます。	[Parallel] 標準偏差の年率化
