$1^\circ$ リスク許容度の大きい（リスク回避度の小さい）投資家の無差別曲線のほうが、リスクの増加に対して効用を維持するために補償されなければならないリターンの大きさが小さい分だけ、より傾きが緩やかになる。この点は、上の効用関数で、効用を$U_i = \overline{U}_i$に固定すれば、無差別曲線が得られ、：$$\mu = \frac{{{c1::\sigma}}^2}{2{{c2::\tau}}} + \overline{{{c3::U}}}_i \quad {{c4::あるいは}} \quad {{c5::\mu}}$$	[Formula] $1^\circ$ リスク許容度の大きい（リスク回避度の小さい）投資家の無差別曲線のほうが、リスクの増加に対して効用を維持するために補償されなければならないリターンの大きさが小さい分だけ、より傾きが緩やかになる。この点は、上の効用関数で、効用を$U_i = \overline{U}_i$に固定すれば、無差別曲線が得られ、
$1^\circ$ リスク許容度の大きい（リスク回避度の小さい）投資家の無差別曲線のほうが、リスクの増加に対して効用を維持するために補償されなければならないリターンの大きさが小さい分だけ、より傾きが緩やかになる。この点は、上の効用関数で、効用を$U_i = \overline{U}_i$に固定すれば、無差別曲線が得られ、：$$\mu = \frac{1}{2}{{c1::\lambda}}{{c2::\sigma}}^2 + \overline{{{c3::U}}}_i$$	[Formula] $1^\circ$ リスク許容度の大きい（リスク回避度の小さい）投資家の無差別曲線のほうが、リスクの増加に対して効用を維持するために補償されなければならないリターンの大きさが小さい分だけ、より傾きが緩やかになる。この点は、上の効用関数で、効用を$U_i = \overline{U}_i$に固定すれば、無差別曲線が得られ、
投資家がリスク回避的であると仮定されるため、リスク（横軸）が増えるとき、同じ満足度を保つためには、より多くのリターン（縦軸）を要求するため、無差別曲線は{{c1::右上がり}}になります。	[Causality] 無差別曲線の形状
リスク回避度が高い投資家（保守的）は、わずかなリスク増加に対しても大きなリターンを要求するため、無差別曲線の傾きが{{c1::急}}になります。一方、リスク許容度が高い投資家（積極的）は、リスクが増えてもそれほど高いリターンを求めないため、無差別曲線の傾きは{{c2::緩やか}}です。	[Contrast] リスク回避度・許容度と無差別曲線の傾き
効用関数中の $\lambda$（ラムダ）は{{c1::リスク回避度}}、$\tau$（タウ）は{{c2::リスク許容度}}を表します。	[Parallel] 効用関数における記号
効用関数において、$\lambda$（リスク回避度）が大きいほど、あるいは $\tau$（リスク許容度）が小さいほど、グラフの「反り」が{{c1::急峻}}になります。	[Causality] 効用関数の記号とグラフの反り
「投資機会集合（客観的な選択肢）」と「無差別曲線（主観的な好み）」が{{c1::接する点}}が、その投資家にとっての「{{c2::最適ポートフォリオ}}」であるという結論が頻出します。	[Parallel] 最適ポートフォリオの決定
リスク許容度の決定要因として、年齢が若いほど許容度が{{c1::高い}}。また、収入・資産が多く余剰資金が多いほど許容度が{{c2::高い}}。	[Parallel] リスク許容度の決定要因
グラフ上に複数の無差別曲線がある場合、同じリスクに対してより高いリターンが得られる{{c1::左上}}に位置する曲線ほど、投資家の満足度（効用）が{{c2::高い}}。	[Causality] 無差別曲線の効用レベル
「リスク許容度（リスクを取れる度合い）」と「リスク回避度（リスクを嫌う度合い）」は{{c1::逆}}の意味です。	[Definition] リスク許容度とリスク回避度の関係
問題文がリスク許容度とリスク回避度のどちらの言葉を使っているかによって、無差別曲線の傾きの「急・緩」の判断が{{c1::逆転}}するため注意が必要です。	[Causality] リスク許容度・回避度と傾きの判断
