変動利付債（フローター）の価値は、リセット日において常に{{c1::額面（100%）}}になります。	[Definition] 変動利付債（フローター）の価値
変動利息を受け取る権利の価値は、「現在の額面（1）」から「満期時点の額面の現在価値（割引係数）」を引いたもの、つまり{{c1::「満期までに発生する変動利息の現在価値合計」}}と等しくなります。	[Definition] 「1 － 割引係数」の直感的意味
割引係数（Discount Factor）とは、$T$ 年後の $1$ 円が、現在{{c1::いくらの価値を持つかを示す数値}}です。	[Definition] 割引係数（Discount Factor）
固定スワップ金利 $S = \frac{1 - DF_T}{\sum_{i=1}^T DF_i}$ の分子は、{{c1::変動利息の価値合計}}を表します。	[Definition] 固定スワップ金利 $S$ の算出式（分子）
固定スワップ金利 $S = \frac{1 - DF_T}{\sum_{i=1}^T DF_i}$ の分母は、{{c1::固定利息の計算に使う割引係数の合計}}を表します。	[Definition] 固定スワップ金利 $S$ の算出式（分母）
スワップ・レートの計算問題では、分母が「割引係数の{{c1::合計（年金現価係数のようなもの）}}」である点に注意しましょう。	[Definition] スワップ・レート計算問題の注意点
スワップの価値は「{{c1::新たな市場レートで計算した固定サイド現価}}」から「{{c2::契約時の固定サイド現価}}」を引いたものです。	[Parallel] スワップの時価評価
金利が上昇すれば、低い金利で払う契約（固定払い・変動受け）の価値は{{c1::プラス}}になります。	[Causality] 金利上昇とスワップ価値
スワップは「{{c1::満期の異なる複数のFRAの束}}」であると理解できます。	[Definition] スワップのFRA合成としての理解
スワップを「満期の異なる複数のFRAの束」と理解する考え方は、イールドカーブが{{c1::フラットでない}}場合に、各期の{{c2::フォワード・レート}}を用いて評価する際に重要となります。	[Parallel] FRA理解の重要性
スワップは{{c1::元本の交換を行わない}}ため、計算上は「元本 1」として比率で計算します。	[Definition] スワップにおける元本の交換
スワップの計算では、ミスを防ぐコツとして、計算上は「元本 1」として比率で計算し、最後に{{c1::実際の想定元本を掛ける}}のが良いです。	[Definition] 想定元本の計算上の扱い
