プレミアムは、権利を買うために支払う「{{c1::手数料}}」のようなものです。	[Definition] プレミアム（オプション価格）
オプションの買い手のリスクは支払ったプレミアムに{{c1::限定}}されますが、売り手のリスクは（ヘッジがない場合）理論上{{c2::無限大}}になります。	[Contrast] オプション取引における買い手と売り手のリスク
先物取引とは異なり、オプションの買い手には「{{c1::義務}}」がありません。	[Definition] オプション買い手の義務
オプションの買い手は、自分にとって{{c1::有利な場合}}のみ権利を{{c2::行使}}し、{{c3::不利な場合}}は権利を{{c4::放棄}}してプレミアムの損失だけで済ませることができます。	[Parallel] オプション権利の行使と放棄
コールオプションにおいて、$S_T > K$ の場合、権利を{{c1::行使}}する（安く買って高く売れるため、利益は {{c2::$S_T - K$}}）。	[Causality] コールオプションの満期時利益条件 ($S_T > K$)
プットオプションにおいて、$S_T > K$ の場合、権利を{{c1::放棄}}する（市場で売ったほうが得なため）。	[Causality] プットオプションの満期時利益条件 ($S_T > K$)
コールオプションにおいて、$S_T < K$ の場合、権利を{{c1::放棄}}する（市場で買ったほうが安いため）。	[Causality] コールオプションの満期時利益条件 ($S_T < K$)
プットオプションにおいて、$S_T < K$ の場合、権利を{{c1::行使}}する（高く売れるため、利益は {{c2::$K - S_T$}}）。	[Causality] プットオプションの満期時利益条件 ($S_T < K$)
アメリカン・オプションは「いつでも行使できる」という利便性があるため、理論価格は常にヨーロピアン・オプション{{c1::以上}}になります。	[Contrast] アメリカン・オプションとヨーロピアン・オプションの理論価格
無配当株式を原資産とするアメリカン・コールの価値はヨーロピアン・コールと{{c1::等しく}}なり、満期前の早期行使は{{c2::合理的ではない}}。	[Definition] 無配当株式を原資産とするアメリカン・コール
ITMとは、権利行使すると{{c1::利益が出る}}状態。	[Definition] イン・ザ・マネー（ITM）
ATMとは、市場価格と行使価格が{{c1::等しい}}状態。	[Definition] アット・ザ・マネー（ATM）
OTMとは、権利行使すると{{c1::損失が出る（権利放棄する）}}状態。	[Definition] アウト・オブ・ザ・マネー（OTM）
プレミアム ＝ {{c1::本源的価値（今すぐ行使した時の利益）}}＋ {{c2::時間的価値}}（将来の価格変動への期待）	[Parallel] プレミアムの構成要素
