**Point：為替先渡取引の理論価格**：$$F_0 = \frac{{{c1::S_0}}(1+i_¥)}{1+i_\$}$$	[Formula] **Point：為替先渡取引の理論価格**
「日本で円を運用して得る利益」と「{{c1::円をドルに替えて米国で運用し、同時に将来の円への交換レートを予約して得る利益}}」は、理論上{{c2::一致しなければならない}}という考え方です。	[Definition] 無裁定の原理
自国金利 $>$ 外国金利 の場合、将来の円は直物より{{c1::安くなる（$F_0$ {{c2::$>$}} $S_0$：{{c3::円安・ドル高方向}}）}}。	[Causality] 金利差とフォワード・レートの関係（自国金利 > 外国金利）
自国金利 $<$ 外国金利 の場合、将来の円は直物より{{c1::高くなる（$F_0$ {{c2::<$}} $S_0$：{{c3::円高・ドル安方向}}）}}。	[Causality] 金利差とフォワード・レートの関係（自国金利 < 外国金利）
「金利が高い通貨は、将来の為替予約では{{c1::割り引かれる}}」と表現します。	[Definition] 金利差とフォワード・レートの一般表現
近似式 $\frac{F_0 - S_0}{S_0} \approx i_¥ - i_\$$ の左辺は「{{c1::先物為替レートの乖離率（スワップ・コスト/収益）}}」です。	[Definition] 先物為替レートの乖離率
近似式 $\frac{F_0 - S_0}{S_0} \approx i_¥ - i_\$$ の右辺は「{{c1::二国間の金利差}}」です。	[Definition] 二国間の金利差
金利が高い方の通貨をヘッジ付きで持つと、金利差分だけ為替予約で{{c1::損をする（コストがかかる）}}仕組みが理解できます。	[Causality] ヘッジ付き通貨保有のコスト
「借入・外貨買い・フォワード売り」の組み合わせは、理論価格よりも実際のフォワード・レート $F_0$ が{{c1::高い場合}}の裁定行動です。	[Causality] 裁定取引パターン（フォワード・レートが高い場合）
理論価格よりも実際のフォワード・レート $F_0$ が{{c1::低い場合}}は、{{c2::外貨借入・円買い・フォワード買い}}の手順で裁定行動を行います。	[Causality] 裁定取引パターン（フォワード・レートが低い場合）
金利 $i_¥, i_\$$ が通常「年率」で与えられ、フォワードの期間が3ヶ月であれば、金利を{{c1::$1/4$ にする}}、あるいは{{c2::日数を掛けて $365$ で割る}}などの調整を絶対に忘れないでください。	[Sequential] 金利の期間調整
「カバー付き」は{{c1::為替予約を使う}}ため{{c2::確実な裁定が成り立つ}}金利パリティです。	[Contrast] カバー付き金利パリティ
「カバーなし金利パリティ」は{{c1::為替予約を使わず}}「{{c2::将来の期待為替レート}}」で考える概念です。	[Contrast] カバーなし金利パリティ
試験では、{{c1::どちらのパリティに基づいた議論か}}を読み取ることが重要です。	[Causality] 試験での重要点（金利パリティ）
